22 <- [Conf. 87.1658,Sup. 87.1658]
12 <- 13[Conf. 63.8211,Sup. 16.7914]
22 <- 13[Conf. 89.0244,Sup. 23.4225]
5 <- 19[Conf. 62.1514,Sup. 16.6845]
22 <- 19[Conf. 86.4542,Sup. 23.2086]
11 <- 7[Conf. 65.1007,Sup. 20.7487]
5 <- 7[Conf. 65.4362,Sup. 20.8556]
22 <- 7[Conf. 70.4698,Sup. 22.4599]
22 <- 16[Conf. 84.6154,Sup. 27.0588]
11 <- 1[Conf. 60.3226,Sup. 20]
22 <- 1[Conf. 77.0968,Sup. 25.5615]
22 <- 3[Conf. 95.5128,Sup. 31.8717]
5 <- 2[Conf. 62.3003,Sup. 20.8556]
22 <- 2[Conf. 88.8179,Sup. 29.7326]
5 <- 18[Conf. 63.8095,Sup. 21.4973]
22 <- 18[Conf. 89.5238,Sup. 30.1604]
22 <- 8[Conf. 93.7107,Sup. 31.8717]
12 <- 9[Conf. 68.3386,Sup. 23.3155]
22 <- 9[Conf. 96.2382,Sup. 32.8342]
21 <- 15[Conf. 68.652,Sup. 23.4225]
15 <- 21[Conf. 64.9852,Sup. 23.4225]
11 <- 15[Conf. 68.652,Sup. 23.4225]
5 <- 15[Conf. 62.6959,Sup. 21.3904]
22 <- 15[Conf. 85.2665,Sup. 29.0909]
22 <- 17[Conf. 87.2274,Sup. 29.9465]
22 <- 21[Conf. 89.3175,Sup. 32.1925]
22 <- 6[Conf. 92.1053,Sup. 33.6898]
22 <- 20[Conf. 85.5908,Sup. 31.7647]
22 <- 12[Conf. 92.6829,Sup. 36.5775]
22 <- 14[Conf. 87.5676,Sup. 34.6524]
5 <- 11[Conf. 62.7615,Sup. 32.0856]
22 <- 11[Conf. 85.1464,Sup. 43.5294]
22 <- 5[Conf. 84.658,Sup. 48.984]
11 <- 1 22[Conf. 60.251,Sup. 15.4011]
5 <- 2 22[Conf. 60.4317,Sup. 17.9679]
5 <- 18 22[Conf. 61.3475,Sup. 18.5027]
12 <- 9 22[Conf. 69.3811,Sup. 22.7807]
9 <- 12 22[Conf. 62.2807,Sup. 22.7807]
21 <- 15 22[Conf. 70.5882,Sup. 20.5348]
15 <- 21 22[Conf. 63.7874,Sup. 20.5348]
11 <- 15 22[Conf. 67.2794,Sup. 19.5722]
22 <- 11 5[Conf. 84,Sup. 26.9519]
5 <- 11 22[Conf. 61.9165,Sup. 26.9519]
